acquisitionInformation.acquisitionParameters.acquisitionSystemName	acquisitionInformation.acquisitionParameters.acquisitionSystemType	acquisitionInformation.acquisitionParameters.antennaToSource_inMeters	acquisitionInformation.acquisitionParameters.cableLength_inMeters	acquisitionInformation.acquisitionParameters.cableReceiverDepthRecorded	acquisitionInformation.acquisitionParameters.cableReceiverDepth_inMeters	acquisitionInformation.acquisitionParameters.channelLength_inMeters	acquisitionInformation.acquisitionParameters.compassBirds	acquisitionInformation.acquisitionParameters.nearChannelNumber	acquisitionInformation.acquisitionParameters.numberOfCables	acquisitionInformation.acquisitionParameters.numberOfChannelsEachCable	acquisitionInformation.acquisitionParameters.numberOfChannelsRecorded	acquisitionInformation.acquisitionParameters.receiverType	acquisitionInformation.acquisitionParameters.recordLength_inSeconds	acquisitionInformation.acquisitionParameters.sampleInterval_inMicroseconds	acquisitionInformation.acquisitionParameters.seismicNavSystem	acquisitionInformation.acquisitionParameters.shotControl	acquisitionInformation.acquisitionParameters.shotInterval_inSecondsOrMeters	acquisitionInformation.acquisitionParameters.sourceArraySeparation_inMeters	acquisitionInformation.acquisitionParameters.sourceDepth_inMeters	acquisitionInformation.acquisitionParameters.sourceNumber	acquisitionInformation.acquisitionParameters.sourcePressure_inBars	acquisitionInformation.acquisitionParameters.sourceToNearChannel_inMeters	acquisitionInformation.acquisitionParameters.sourceType	acquisitionInformation.acquisitionParameters.sourceVolume	acquisitionInformation.acquisitionParameters.sourceVolumeUnits	acquisitionInformation.acquisitionParameters.tailBuoyPositioning	acquisitionInformation.platformInformation.platform	acquisitionInformation.platformInformation.platformOrganization	acquisitionInformation.seismicNavFile.dataFileFormat	acquisitionInformation.seismicNavFile.offsetsApplied	acquisitionInformation.seismicNavFile.surveyDatum	datasetInformation.boundingCoordinates.eastLong	datasetInformation.boundingCoordinates.northLat	datasetInformation.boundingCoordinates.southLat	datasetInformation.boundingCoordinates.westLong	datasetInformation.dataClass	datasetInformation.dataContact.contactInformation.email	datasetInformation.dataContact.contactInformation.name	datasetInformation.dataContact.contactInformation.organization	datasetInformation.dataContact.contactInformation.role	datasetInformation.dataMedia	datasetInformation.dataType	datasetInformation.datasetAccessControl.accessControl.accessPerson.contactInformation.email	datasetInformation.datasetAccessControl.accessControl.accessPerson.contactInformation.name	datasetInformation.datasetAccessControl.accessControl.accessPerson.contactInformation.organization	datasetInformation.datasetAccessControl.accessControl.accessPerson.contactInformation.role	datasetInformation.datasetAccessControl.accessControl.accessReleaseDate	datasetInformation.datasetAccessControl.accessControl.accessState	datasetInformation.datasetContentLink	datasetInformation.datasetDescription	datasetInformation.datasetID	datasetInformation.datasetProcessing.processingParameters.processContact.contactInformation.email	datasetInformation.datasetProcessing.processingParameters.processContact.contactInformation.name	datasetInformation.datasetProcessing.processingParameters.processContact.contactInformation.organization	datasetInformation.datasetProcessing.processingParameters.processContact.contactInformation.role	datasetInformation.datasetProcessing.processingParameters.processingScope	datasetInformation.datasetProcessing.processingParameters.processingStep	datasetInformation.datasetProcessing.processingParameters.processingStepDate	datasetInformation.datasetQualityDescription	datasetInformation.datasetSize	datasetInformation.datasetStartDate.date	datasetInformation.datasetStartDate.dateTypeCode	datasetInformation.datasetTitle	datasetInformation.datasetZipLink	datasetInformation.documentation.citationInformation.author	datasetInformation.documentation.citationInformation.citationDate.date	datasetInformation.documentation.citationInformation.citationDate.dateTypeCode	datasetInformation.documentation.citationInformation.doi	datasetInformation.documentation.citationInformation.journalName	datasetInformation.documentation.citationInformation.onlineLinkage	datasetInformation.documentation.citationInformation.page	datasetInformation.documentation.citationInformation.title	datasetInformation.documentation.citationInformation.volume	datasetInformation.geographicFeatures.featureName	datasetInformation.processedDataClass	datasetInformation.processedMethod	datasetInformation.purpose	datasetInformation.resourceProvider.contactInformation.email	datasetInformation.resourceProvider.contactInformation.name	datasetInformation.resourceProvider.contactInformation.organization	datasetInformation.resourceProvider.contactInformation.role	datasetInformation.seismicDataProvenance	datasetInformation.supplementalInformation	datasetInformation.temporalExtent.endDate	datasetInformation.temporalExtent.startDate	metadataInformation.dateOfSubmission	metadataInformation.metadataContact.contactInformation.email	metadataInformation.metadataContact.contactInformation.name	metadataInformation.metadataContact.contactInformation.organization	metadataInformation.metadataContact.contactInformation.role	metadataInformation.metadataDate	metadataInformation.metadataStandard
	digital											Hydrophone_Streamer											SeismicSource_Gun_Air						SEGP1	undocumented	NAD27	-88.22167	29.03385	25.94305	-95.36905	processed	matthew.wilson@boem.gov	Matthew Wilson	Bureau of Ocean Energy Management	pointOfContact	Online	Seismic:Active:MCS	matthew.wilson@boem.gov	Matthew Wilson	Bureau of Ocean Energy Management	pointOfContact	2013-01-31	open	https://walrus.wr.usgs.gov/namss/survey/b-15-88-gm/dataset/	These data were acquired by BOEM (formerly MMS and USGS).  Under the terms of procurement, these data are to be available to the public 25 years after the issuance of the exploration permit.	namss.B-15-88-GM.mcs.airgun.zip					dataset	Unspecified		Unspecified	1.3 GB	1988-01-01	creation	Data zip file	https://walrus.wr.usgs.gov/namss/data/1988/namss.B-15-88-GM.mcs.airgun.zip											Stack	Seismic:Reflection	These data were acquired commercially for geophysical and geological (G&G) exploration of oil and gas prospects on the U.S. Outer Continental Shelf (OCS).  The Dept. of Interior, which regulates G&G activities on the OCS, acquired these data in order to ensure that the Federal government received fair market value for leases issued for oil and gas production on the OCS, and to accomplish other regulatory functions.	hart@usgs.gov	Patrick Hart	U.S. Geological Survey	pointOfContact	DigitalSeg:DigitallyAcquired	MCS Data transferred from BOEM to USGS for posting on NAMSS. Limited information available.	1988-01-31	1988-01-01	2016-05-23	ptriezenberg@usgs.gov	Peter Triezenberg	U.S. Geological Survey	pointOfContact	2018-03-16	Seismic Metadata v.1
	digital											Hydrophone_Streamer											SeismicSource_Gun_Air						SEGP1	undocumented	NAD27	-93.68108	29.42390	28.09742	-95.66246	processed	matthew.wilson@boem.gov	Matthew Wilson	Bureau of Ocean Energy Management	pointOfContact	Online	Seismic:Active:MCS	matthew.wilson@boem.gov	Matthew Wilson	Bureau of Ocean Energy Management	pointOfContact	2013-01-31	open	https://walrus.wr.usgs.gov/namss/survey/b-15-88-tx/dataset/	These data were acquired by BOEM (formerly MMS and USGS).  Under the terms of procurement, these data are to be available to the public 25 years after the issuance of the exploration permit.	namss.B-15-88-TX.mcs.airgun.zip					dataset	Unspecified		Unspecified	651.4 MB	1988-01-01	creation	Data zip file	https://walrus.wr.usgs.gov/namss/data/1988/namss.B-15-88-TX.mcs.airgun.zip											Stack	Seismic:Reflection	These data were acquired commercially for geophysical and geological (G&G) exploration of oil and gas prospects on the U.S. Outer Continental Shelf (OCS).  The Dept. of Interior, which regulates G&G activities on the OCS, acquired these data in order to ensure that the Federal government received fair market value for leases issued for oil and gas production on the OCS, and to accomplish other regulatory functions.	hart@usgs.gov	Patrick Hart	U.S. Geological Survey	pointOfContact	DigitalSeg:DigitallyAcquired	MCS Data transferred from BOEM to USGS for posting on NAMSS. Limited information available.	1988-01-31	1988-01-01	2016-05-23	ptriezenberg@usgs.gov	Peter Triezenberg	U.S. Geological Survey	pointOfContact	2018-03-16	Seismic Metadata v.1
	digital											Hydrophone_Streamer											SeismicSource_Gun_Air						SEGP1	no	NAD27	-88.48070	29.31418	27.40715	-93.22215	processed	hart@usgs.gov	Patrick Hart	U.S. Geological Survey	pointOfContact	Online	Seismic:Active:MCS	hart@usgs.gov	Patrick Hart	U.S. Geological Survey	pointOfContact		open	https://walrus.wr.usgs.gov/namss/survey/b-15b-89-tx/dataset/	These data were acquired by BOEM (formerly MMS and USGS). Under the terms of procurement, these data are to be available to the public 25 years after the issuance of the exploration permit.	namss.B-15b-89-TX.mcs.airgun.zip					dataset	Unspecified		Unspecified	2.1 MB	1989-01-01	creation	Dataset zip file	https://walrus.wr.usgs.gov/namss/data/1989/namss.B-15b-89-TX.mcs.airgun.zip										Gulf of Mexico	Stack	Seismic:Reflection	These data were acquired commercially for geophysical and geological (G&G) exploration of oil and gas prospects on the U.S. Outer Continental Shelf (OCS). The Dept. of Interior, which regulates G&G activities on the OCS, acquired these data in order to ensure that the Federal government received fair market value for leases issued for oil and gas production on the OCS, and to accomplish other regulatory functions.	matthew.wilson@boem.gov	Matthew Wilson	Bureau of Ocean Energy Management	pointOfContact	DigitalSeg:DigitallyAcquired	MCS Data transferred from BOEM to USGS for posting on NAMSS. Limited information available.	1989-01-01	1989-01-01	2017-02-07	ptriezenberg@usgs.gov	Peter Triezenberg	U.S. Geological Survey	pointOfContact	2018-03-16	Seismic Metadata v.1
	digital											Hydrophone_Streamer											SeismicSource_Gun_Air						SEGP1	no	NAD27	-88.48070	29.31418	27.40715	-93.22215	processed	hart@usgs.gov	Patrick Hart	U.S. Geological Survey	pointOfContact	Online	Seismic:Active:MCS	hart@usgs.gov	Patrick Hart	U.S. Geological Survey	pointOfContact		open	https://walrus.wr.usgs.gov/namss/survey/b-15c-89-tx/dataset/	These data were acquired by BOEM (formerly MMS and USGS). Under the terms of procurement, these data are to be available to the public 25 years after the issuance of the exploration permit.	namss.B-15c-89-TX.mcs.airgun.zip					dataset	Unspecified		Unspecified	2.2 MB	1989-01-01	creation	Dataset zip file	https://walrus.wr.usgs.gov/namss/data/1989/namss.B-15c-89-TX.mcs.airgun.zip										Gulf of Mexico	Stack	Seismic:Reflection	These data were acquired commercially for geophysical and geological (G&G) exploration of oil and gas prospects on the U.S. Outer Continental Shelf (OCS). The Dept. of Interior, which regulates G&G activities on the OCS, acquired these data in order to ensure that the Federal government received fair market value for leases issued for oil and gas production on the OCS, and to accomplish other regulatory functions.	matthew.wilson@boem.gov	Matthew Wilson	Bureau of Ocean Energy Management	pointOfContact	DigitalSeg:DigitallyAcquired	MCS Data transferred from BOEM to USGS for posting on NAMSS. Limited information available.	1989-01-01	1989-01-01	2017-02-07	ptriezenberg@usgs.gov	Peter Triezenberg	U.S. Geological Survey	pointOfContact	2018-03-16	Seismic Metadata v.1
DFS-III	digital	31.08960	3569.20800						1			Hydrophone_Streamer							14.93520	18		345.64320	SeismicSource_Gun_Air	1700.00000	Cubic Inches		Gulf Seal	Unspecified	SEGP1	undocumented	NAD83	-73.54560	38.99504	34.62177	-75.56547	processed	matthew.wilson@boem.gov	Matthew Wilson	Bureau of Ocean Energy Management	pointOfContact	Online	Seismic:Active:MCS	matthew.wilson@boem.gov	Matthew Wilson	Bureau of Ocean Energy Management	pointOfContact	2001-01-24	open	https://walrus.wr.usgs.gov/namss/survey/b-16-76-at/dataset/	These data were acquired by BOEM (formerly MMS and USGS).  Under the terms of procurement, these data are to be available to the public 25 years after the issuance of the exploration permit.	namss.B-16-76-AT.mcs.airgun.zip					dataset	Unspecified		Unspecified	1.7 GB	1976-01-01	creation	Data zip file	https://walrus.wr.usgs.gov/namss/data/1976/namss.B-16-76-AT.mcs.airgun.zip										Mid-Atlantic Ocean	Migration, Other, Stack	Seismic:Reflection, Seismic:Velocity	These data were acquired commercially for geophysical and geological (G&G) exploration of oil and gas prospects on the U.S. Outer Continental Shelf (OCS).  The Dept. of Interior, which regulates G&G activities on the OCS, acquired these data in order to ensure that the Federal government received fair market value for leases issued for oil and gas production on the OCS, and to accomplish other regulatory functions.	hart@usgs.gov	Patrick Hart	U.S. Geological Survey	pointOfContact	DigitalSeg:DigitallyAcquired	MCS Data transferred from BOEM to USGS for posting on NAMSS. Limited information available.	1976-01-31	1976-01-01	2016-05-23	ptriezenberg@usgs.gov	Peter Triezenberg	U.S. Geological Survey	pointOfContact	2018-03-16	Seismic Metadata v.1
DFS-IV	digital	53.94960	2349.70320		10.36320	49.68240			1		48	Hydrophone_Streamer	7.00000	2000		Distance	24.99360		9.14400	7		239.87760	SeismicSource_Gun_Air	1341.00000	Cubic Inches				SEGP1	undocumented	NAD83	-72.53092	39.24403	38.85682	-72.97712	processed	hart@usgs.gov	Patrick Hart	U.S. Geological Survey	pointOfContact	Online	Seismic:Active:MCS	hart@usgs.gov	Patrick Hart	U.S. Geological Survey	pointOfContact	2002-10-25	open	https://walrus.wr.usgs.gov/namss/survey/b-16-77-at/dataset/	These data were acquired by BOEM (formerly MMS and USGS).  Under the terms of procurement, these data are to be available to the public 25 years after the issuance of the exploration permit.	namss.B-16-77-AT.mcs.airgun.zip					dataset	Unspecified		Unspecified	279.7 MB	1977-10-01	creation	Data zip file	https://walrus.wr.usgs.gov/namss/data/1977/namss.B-16-77-AT.mcs.airgun.zip										Baltimore Canyon	Migration	Seismic:Reflection	These data were acquired commercially for geophysical and geological (G&G) exploration of oil and gas prospects on the U.S. Outer Continental Shelf (OCS).  The Dept. of Interior, which regulates G&G activities on the OCS, acquired these data in order to ensure that the Federal government received fair market value for leases issued for oil and gas production on the OCS, and to accomplish other regulatory functions.	hart@usgs.gov	Patrick Hart	U.S. Geological Survey	pointOfContact	DigitalSeg:DigitallyAcquired	MCS Data transferred from BOEM to USGS for posting on NAMSS. Limited information available.	1977-10-31	1977-10-01	2016-05-23	ptriezenberg@usgs.gov	Peter Triezenberg	U.S. Geological Survey	pointOfContact	2018-03-16	Seismic Metadata v.1
DFS-V	digital		2974.23840		12.80160	24.99360					120	Hydrophone_Streamer	5.00000	2000		Distance	37.49040		9.14400			146.30400	SeismicSource_Gun_Air						SEGP1	undocumented	NAD27	-81.80443	26.92552	24.64228	-84.37401	processed	matthew.wilson@boem.gov	Matthew Wilson	Bureau of Ocean Energy Management	pointOfContact	Online	Seismic:Active:MCS	matthew.wilson@boem.gov	Matthew Wilson	Bureau of Ocean Energy Management	pointOfContact	2005-12-25	open	https://walrus.wr.usgs.gov/namss/survey/b-16-80-fl/dataset/	These data were acquired by BOEM (formerly MMS and USGS).  Under the terms of procurement, these data are to be available to the public 25 years after the issuance of the exploration permit.	namss.B-16-80-FL.mcs.airgun.zip					dataset	Unspecified		Unspecified	19.1 MB	1980-12-01	creation	Data zip file	https://walrus.wr.usgs.gov/namss/data/1980/namss.B-16-80-FL.mcs.airgun.zip										Pulley Ridge	Stack	Seismic:Reflection	These data were acquired commercially for geophysical and geological (G&G) exploration of oil and gas prospects on the U.S. Outer Continental Shelf (OCS).  The Dept. of Interior, which regulates G&G activities on the OCS, acquired these data in order to ensure that the Federal government received fair market value for leases issued for oil and gas production on the OCS, and to accomplish other regulatory functions.	hart@usgs.gov	Patrick Hart	U.S. Geological Survey	pointOfContact	DigitalSeg:DigitallyAcquired	MCS Data transferred from BOEM to USGS for posting on NAMSS. Limited information available.	1980-12-31	1980-12-01	2016-05-23	ptriezenberg@usgs.gov	Peter Triezenberg	U.S. Geological Survey	pointOfContact	2018-03-16	Seismic Metadata v.1
	digital											Hydrophone_Streamer											SeismicSource_Gun_Air						SEGP1	undocumented	NAD27	-89.81335	28.98507	27.86705	-91.36934	processed	matthew.wilson@boem.gov	Matthew Wilson	Bureau of Ocean Energy Management	pointOfContact	Online	Seismic:Active:MCS	matthew.wilson@boem.gov	Matthew Wilson	Bureau of Ocean Energy Management	pointOfContact	2013-01-31	open	https://walrus.wr.usgs.gov/namss/survey/b-16-88-la/dataset/	These data were acquired by BOEM (formerly MMS and USGS).  Under the terms of procurement, these data are to be available to the public 25 years after the issuance of the exploration permit.	namss.B-16-88-LA.mcs.airgun.zip					dataset	Unspecified		Unspecified	1.7 GB	1988-01-01	creation	Data zip file	https://walrus.wr.usgs.gov/namss/data/1988/namss.B-16-88-LA.mcs.airgun.zip											Stack	Seismic:Reflection	These data were acquired commercially for geophysical and geological (G&G) exploration of oil and gas prospects on the U.S. Outer Continental Shelf (OCS).  The Dept. of Interior, which regulates G&G activities on the OCS, acquired these data in order to ensure that the Federal government received fair market value for leases issued for oil and gas production on the OCS, and to accomplish other regulatory functions.	hart@usgs.gov	Patrick Hart	U.S. Geological Survey	pointOfContact	DigitalSeg:DigitallyAcquired	MCS Data transferred from BOEM to USGS for posting on NAMSS. Limited information available.	1988-01-31	1988-01-01	2016-05-23	ptriezenberg@usgs.gov	Peter Triezenberg	U.S. Geological Survey	pointOfContact	2018-03-16	Seismic Metadata v.1
	digital											Hydrophone_Streamer											SeismicSource_Gun_Air						SEGP1	undocumented	NAD27	-85.47031	28.53936	26.95536	-88.70760	processed	matthew.wilson@boem.gov	Matthew Wilson	Bureau of Ocean Energy Management	pointOfContact	Online	Seismic:Active:MCS	matthew.wilson@boem.gov	Matthew Wilson	Bureau of Ocean Energy Management	pointOfContact	2012-01-25	open	https://walrus.wr.usgs.gov/namss/survey/b-16a-87-mi/dataset/	These data were acquired by BOEM (formerly MMS and USGS).  Under the terms of procurement, these data are to be available to the public 25 years after the issuance of the exploration permit.	namss.B-16A-87-MI.mcs.airgun.zip					dataset	Unspecified		Unspecified	2.1 GB	1987-01-01	creation	Data zip file	https://walrus.wr.usgs.gov/namss/data/1987/namss.B-16A-87-MI.mcs.airgun.zip										Gulf of Mexico	Stack	Seismic:Reflection	These data were acquired commercially for geophysical and geological (G&G) exploration of oil and gas prospects on the U.S. Outer Continental Shelf (OCS).  The Dept. of Interior, which regulates G&G activities on the OCS, acquired these data in order to ensure that the Federal government received fair market value for leases issued for oil and gas production on the OCS, and to accomplish other regulatory functions.	hart@usgs.gov	Patrick Hart	U.S. Geological Survey	pointOfContact	DigitalSeg:DigitallyAcquired	MCS Data transferred from BOEM to USGS for posting on NAMSS. Limited information available.	1987-01-31	1987-01-01	2016-05-23	ptriezenberg@usgs.gov	Peter Triezenberg	U.S. Geological Survey	pointOfContact	2018-03-16	Seismic Metadata v.1
	digital											Hydrophone_Streamer											SeismicSource_Gun_Air						SEGP1	undocumented	NAD27	-83.92833	29.41778	26.95101	-86.89887	processed	matthew.wilson@boem.gov	Matthew Wilson	Bureau of Ocean Energy Management	pointOfContact	Online	Seismic:Active:MCS	matthew.wilson@boem.gov	Matthew Wilson	Bureau of Ocean Energy Management	pointOfContact	2012-01-25	open	https://walrus.wr.usgs.gov/namss/survey/b-16b-87-mi/dataset/	These data were acquired by BOEM (formerly MMS and USGS).  Under the terms of procurement, these data are to be available to the public 25 years after the issuance of the exploration permit.	namss.B-16B-87-MI.mcs.airgun.zip					dataset	Unspecified		Unspecified	1.7 GB	1987-01-01	creation	Data zip file	https://walrus.wr.usgs.gov/namss/data/1987/namss.B-16B-87-MI.mcs.airgun.zip										Gulf of Mexico	Stack	Seismic:Reflection	These data were acquired commercially for geophysical and geological (G&G) exploration of oil and gas prospects on the U.S. Outer Continental Shelf (OCS).  The Dept. of Interior, which regulates G&G activities on the OCS, acquired these data in order to ensure that the Federal government received fair market value for leases issued for oil and gas production on the OCS, and to accomplish other regulatory functions.	hart@usgs.gov	Patrick Hart	U.S. Geological Survey	pointOfContact	DigitalSeg:DigitallyAcquired	MCS Data transferred from BOEM to USGS for posting on NAMSS. Limited information available.	1987-01-31	1987-01-01	2016-05-23	ptriezenberg@usgs.gov	Peter Triezenberg	U.S. Geological Survey	pointOfContact	2018-03-16	Seismic Metadata v.1
	digital											Hydrophone_Streamer											SeismicSource_Gun_Air						N83	no	NAD83	-159.13691	57.71171	54.36199	-167.83114	processed	hart@usgs.gov	Patrick Hart	U.S. Geological Survey	pointOfContact	Online	Seismic:Active:MCS	Unspecified	Unspecified	Unspecified	resourceProvider		open	https://walrus.wr.usgs.gov/namss/survey/b-17-75-ak/dataset/	Unspecified	namss.B-17-75-AK.mcs.airgun.zip					dataset	Unspecified		Unspecified	10.5 GB	1975-01-01	creation	Dataset zip file	https://walrus.wr.usgs.gov/namss/data/1975/namss.B-17-75-AK.mcs.airgun.zip										Alaska		Seismic:Reflection		hart@usgs.gov	Patrick Hart	U.S. Geological Survey	pointOfContact	DigitalSeg:DigitallyAcquired		1975-01-01	1975-01-01	2016-06-06	ptriezenberg@usgs.gov	Peter Triezenberg	U.S. Geological Survey	pointOfContact	2018-03-16	Seismic Metadata v.1
DFS-III	digital	47.85360	785.16480			34.13760			1		24	Hydrophone_Streamer		1			1.00000					40.84320	SeismicSource_Sparker				Gary Chouest	Digicon	SEGP1	undocumented	WGS84	-72.41097	40.61887	35.16011	-75.48561	processed	matthew.wilson@boem.gov	Matthew Wilson	Bureau of Ocean Energy Management	pointOfContact	Online	Seismic:Active:MCS	matthew.wilson@boem.gov	Matthew Wilson	Bureau of Ocean Energy Management	pointOfContact	2000-09-23	open	https://walrus.wr.usgs.gov/namss/survey/b-17-75-at/dataset/	These data were acquired by BOEM (formerly MMS and USGS).  Under the terms of procurement, these data are to be available to the public 25 years after the issuance of the exploration permit.	namss.B-17-75-AT.mcs.sparker.zip					dataset	Unspecified		Unspecified	448.4 MB	1975-09-01	creation	Data zip file	https://walrus.wr.usgs.gov/namss/data/1975/namss.B-17-75-AT.mcs.sparker.zip										Baltimore Canyon	Stack	Seismic:Reflection	These data were acquired commercially for geophysical and geological (G&G) exploration of oil and gas prospects on the U.S. Outer Continental Shelf (OCS).  The Dept. of Interior, which regulates G&G activities on the OCS, acquired these data in order to ensure that the Federal government received fair market value for leases issued for oil and gas production on the OCS, and to accomplish other regulatory functions.	hart@usgs.gov	Patrick Hart	U.S. Geological Survey	pointOfContact	DigitalSeg:DigitallyAcquired	MCS Data transferred from BOEM to USGS for posting on NAMSS. Limited information available.	1975-09-30	1975-09-01	2016-05-23	ptriezenberg@usgs.gov	Peter Triezenberg	U.S. Geological Survey	pointOfContact	2018-03-16	Seismic Metadata v.1
DFS-IV	digital	53.94960	2349.70320		10.36320	49.68240			1		48	Hydrophone_Streamer	6.00000	2000		Distance	24.99360		9.14400	7		239.87760	SeismicSource_Gun_Air	1341.00000	Cubic Inches				SEGP1	undocumented	NAD83	-79.55727	32.15740	32.04103	-79.74574	processed	matthew.wilson@boem.gov	Matthew Wilson	Bureau of Ocean Energy Management	pointOfContact	Online	Seismic:Active:MCS	matthew.wilson@boem.gov	Matthew Wilson	Bureau of Ocean Energy Management	pointOfContact	2002-11-24	open	https://walrus.wr.usgs.gov/namss/survey/b-17-77-at/dataset/	These data were acquired by BOEM (formerly MMS and USGS).  Under the terms of procurement, these data are to be available to the public 25 years after the issuance of the exploration permit.	namss.B-17-77-AT.mcs.airgun.zip					dataset	Unspecified		Unspecified	148.7 MB	1977-11-01	creation	Data zip file	https://walrus.wr.usgs.gov/namss/data/1977/namss.B-17-77-AT.mcs.airgun.zip										Georgia Embayment	Migration, Other, Stack	Seismic:Reflection, Seismic:Velocity	These data were acquired commercially for geophysical and geological (G&G) exploration of oil and gas prospects on the U.S. Outer Continental Shelf (OCS).  The Dept. of Interior, which regulates G&G activities on the OCS, acquired these data in order to ensure that the Federal government received fair market value for leases issued for oil and gas production on the OCS, and to accomplish other regulatory functions.	hart@usgs.gov	Patrick Hart	U.S. Geological Survey	pointOfContact	DigitalSeg:DigitallyAcquired	MCS Data transferred from BOEM to USGS for posting on NAMSS. Limited information available.	1977-11-30	1977-11-01	2016-05-23	ptriezenberg@usgs.gov	Peter Triezenberg	U.S. Geological Survey	pointOfContact	2018-03-16	Seismic Metadata v.1
	digital											Hydrophone_Streamer											SeismicSource_Gun_Air						SEGP1	undocumented	NAD27	-89.44033	29.14631	28.32837	-90.55541	processed	matthew.wilson@boem.gov	Matthew Wilson	Bureau of Ocean Energy Management	pointOfContact	Online	Seismic:Active:MCS	matthew.wilson@boem.gov	Matthew Wilson	Bureau of Ocean Energy Management	pointOfContact	2007-01-25	open	https://walrus.wr.usgs.gov/namss/survey/b-17-82-la/dataset/	These data were acquired by BOEM (formerly MMS and USGS).  Under the terms of procurement, these data are to be available to the public 25 years after the issuance of the exploration permit.	namss.B-17-82-LA.mcs.airgun.zip					dataset	Unspecified		Unspecified	132.2 MB	1982-01-01	creation	Data zip file	https://walrus.wr.usgs.gov/namss/data/1982/namss.B-17-82-LA.mcs.airgun.zip										Gulf of Mexico	Stack	Seismic:Reflection	These data were acquired commercially for geophysical and geological (G&G) exploration of oil and gas prospects on the U.S. Outer Continental Shelf (OCS).  The Dept. of Interior, which regulates G&G activities on the OCS, acquired these data in order to ensure that the Federal government received fair market value for leases issued for oil and gas production on the OCS, and to accomplish other regulatory functions.	hart@usgs.gov	Patrick Hart	U.S. Geological Survey	pointOfContact	DigitalSeg:DigitallyAcquired	MCS Data transferred from BOEM to USGS for posting on NAMSS. Limited information available.	1982-01-31	1982-01-01	2016-05-23	ptriezenberg@usgs.gov	Peter Triezenberg	U.S. Geological Survey	pointOfContact	2018-03-16	Seismic Metadata v.1
DFS-V	digital					49.98720					120	Hydrophone_Streamer	8.00000	2000		Distance	24.99360					249.93600	SeismicSource_Gun_Air						SEGP1	undocumented	NAD27	-88.49617	28.89987	28.58591	-88.84499	processed	matthew.wilson@boem.gov	Matthew Wilson	Bureau of Ocean Energy Management	pointOfContact	Online	Seismic:Active:MCS	matthew.wilson@boem.gov	Matthew Wilson	Bureau of Ocean Energy Management	pointOfContact	2009-01-24	open	https://walrus.wr.usgs.gov/namss/survey/b-17-84-la/dataset/	These data were acquired by BOEM (formerly MMS and USGS).  Under the terms of procurement, these data are to be available to the public 25 years after the issuance of the exploration permit.	namss.B-17-84-LA.mcs.airgun.zip					dataset	Unspecified		Unspecified	11.1 MB	1984-01-01	creation	Data zip file	https://walrus.wr.usgs.gov/namss/data/1984/namss.B-17-84-LA.mcs.airgun.zip										Louisiana	Stack	Seismic:Reflection	These data were acquired commercially for geophysical and geological (G&G) exploration of oil and gas prospects on the U.S. Outer Continental Shelf (OCS).  The Dept. of Interior, which regulates G&G activities on the OCS, acquired these data in order to ensure that the Federal government received fair market value for leases issued for oil and gas production on the OCS, and to accomplish other regulatory functions.	hart@usgs.gov	Patrick Hart	U.S. Geological Survey	pointOfContact	DigitalSeg:DigitallyAcquired	MCS Data transferred from BOEM to USGS for posting on NAMSS. Limited information available.	1984-01-31	1984-01-01	2016-05-23	ptriezenberg@usgs.gov	Peter Triezenberg	U.S. Geological Survey	pointOfContact	2018-03-16	Seismic Metadata v.1
DFS-V	digital	174.04080	2999.23200		9.14400	24.99360					120	Hydrophone_Streamer	8.00000	2000	Raydist	Distance	24.99360		7.62000			309.06720	SeismicSource_Gun_Air	3564.00000	Cubic Inches		Echo	Geco	SEGP1	undocumented	NAD27	-93.37728	28.52591	27.68473	-94.72291	processed	matthew.wilson@boem.gov	Matthew Wilson	Bureau of Ocean Energy Management	pointOfContact	Online	Seismic:Active:MCS	matthew.wilson@boem.gov	Matthew Wilson	Bureau of Ocean Energy Management	pointOfContact	2009-02-22	open	https://walrus.wr.usgs.gov/namss/survey/b-17-84-tx/dataset/	These data were acquired by BOEM (formerly MMS and USGS).  Under the terms of procurement, these data are to be available to the public 25 years after the issuance of the exploration permit.	namss.B-17-84-TX.mcs.airgun.zip					dataset	Unspecified		Unspecified	340.0 MB	1984-02-01	creation	Data zip file	https://walrus.wr.usgs.gov/namss/data/1984/namss.B-17-84-TX.mcs.airgun.zip										Texas	Stack	Seismic:Reflection	These data were acquired commercially for geophysical and geological (G&G) exploration of oil and gas prospects on the U.S. Outer Continental Shelf (OCS).  The Dept. of Interior, which regulates G&G activities on the OCS, acquired these data in order to ensure that the Federal government received fair market value for leases issued for oil and gas production on the OCS, and to accomplish other regulatory functions.	hart@usgs.gov	Patrick Hart	U.S. Geological Survey	pointOfContact	DigitalSeg:DigitallyAcquired	MCS Data transferred from BOEM to USGS for posting on NAMSS. Limited information available.	1984-02-29	1984-02-01	2016-05-23	ptriezenberg@usgs.gov	Peter Triezenberg	U.S. Geological Survey	pointOfContact	2018-03-16	Seismic Metadata v.1
