survey	prefix	suffix	eastLong	northLat	southLat	westLong	area	year	corrupted	clean_size	original_size	panels	dx	quality	migration_technique	split	platform	organization
b-04-80-at	b-04	at	-68.24588	40.49604	32.85921	-76.73079	Oceano Atlântico Norte	1980	0	290.0498505	735.1	27	22.5	boa	Kirchhoff Time Migration	Treino	Teledyne	Bureau of Ocean Energy Management
b-04-81-at	b-04	at	-72.17132	39.19208	37.9439	-73.81364	Oceano Atlântico Norte	1981	0	25.9141922	26.9	5	37.5	boa	None	Treino	Unspecified	Bureau of Ocean Energy Management
b-04-82-at	b-04	at	-68.37747	40.3879	28.32278	-81.04257	Oceano Atlântico Norte	1982	0	119.9077492	1077.1	8	30.48	boa	None	Treino	Unspecified	Bureau of Ocean Energy Management
b-04-83-at	b-04	at	-68.57109	41.12456	40.299	-70.62808	Oceano Atlântico Norte	1983	0	289.2382622	429.1	44	25	regular	None	Treino	Unspecified	Bureau of Ocean Energy Management
b-05-81-at	b-05	at	-78.13194	27.84499	22.59888	-82.3075	Oceano Atlântico Norte	1981	0	287.1421127	941.7	13	16.67	regular	Kirchhoff Time Migration	Treino	Petroleum Services	Bureau of Ocean Energy Management
b-05-83-at	b-05	at	-73.49511	38.16068	31.99077	-76.95743	Oceano Atlântico Norte	1983	0	245.9426117	535.4	13	12.5	regular	None	Treino	Unspecified	Bureau of Ocean Energy Management
b-06-76-at	b-06	at	-66.58911	41.45488	38.5052	-74.28644	Oceano Atlântico Norte	1976	0	208.2232742	216.4	36	50	boa	Kirchhoff Time Migration	Treino	Unspecified	Bureau of Ocean Energy Management
b-06-79-at	b-06	at	-70.61281	40.65954	40.07068	-70.86565	Oceano Atlântico Norte	1979	0	19.0935173	20	2	25	boa	Kirchhoff Time Migration	Treino	SEI	Bureau of Ocean Energy Management
b-06-82-at	b-06	at	-76.04821	32.98269	26.60646	-80.30783	Oceano Atlântico Norte	1982	0	288.1680336	1260	18	50	boa	None	Treino	Unspecified	Bureau of Ocean Energy Management
b-07-76-at	b-07	at	-72.43907	39.45245	39.11503	-73.59053	Oceano Atlântico Norte	1976	0	28.40308762	29.4	2	304.8	boa	None	Treino	Unspecified	Bureau of Ocean Energy Management
b-07-78-ak	b-07	ak	-145.54101	70.65157	70.14773	-150.16089	Oceano Ártico	1978	0	287.5499725	654.6	67	25	ruim	Finite Difference Migration	Treino	Unspecified	U.S. Geological Survey
b-07-81-at	b-07	at	-74.54575	35.66176	35.23645	-75.04708	Oceano Atlântico Norte	1981	0	136.1535416	242.7	13	25	excelente	None	Treino	Unspecified	Bureau of Ocean Energy Management
b-07-83-at	b-07	at	-73.11844	38.50596	38.30901	-73.41734	Oceano Atlântico Norte	1983	0	141.0584183	145.8	14	12.5	boa	Kirchhoff Time Migration	Treino	Unspecified	Bureau of Ocean Energy Management
b-08-75-at	b-08	at	-66.58938	41.13668	40.41958	-68.40525	Oceano Atlântico Norte	1975	0	217.3937492	226	44	33.33	regular	Kirchhoff Time Migration	Treino	GSI	Bureau of Ocean Energy Management
b-08-78-at	b-08	at	-71.95563	39.92427	37.74145	-74.29177	Oceano Atlântico Norte	1978	0	288.8917694	777.3	59	33.68	boa	Kirchhoff Time Migration	Treino	Geosource	Bureau of Ocean Energy Management
b-08-83-at	b-08	at	-71.15864	39.88928	39.67399	-71.6595	Oceano Atlântico Norte	1983	0	141.5927811	404.7	15	12.5	boa	None	Treino	Unspecified	Bureau of Ocean Energy Management
b-09-75-at	b-09	at	-78.41034	32.98944	30.05578	-81.04931	Oceano Atlântico Norte	1975	0	287.7817535	1214.9	59	33.33	regular	Kirchhoff Time Migration	Treino	GSI	Bureau of Ocean Energy Management
b-09-81-at	b-09	at	-72.00103	39.36784	37.56153	-74.19529	Oceano Atlântico Norte	1981	0	289.3834229	780.7	73	50	boa	Kirchhoff Time Migration	Treino	Unspecified	Bureau of Ocean Energy Management
b-10-80-at	b-10	at	-71.67339	39.46574	37.42017	-74.26702	Oceano Atlântico Norte	1980	0	224.5400772	230.5	16	37.49	boa	Kirchhoff Time Migration	Treino	Unspecified	Bureau of Ocean Energy Management
b-10-81-at	b-10	at	-66.75638	40.73221	38.16589	-73.41508	Oceano Atlântico Norte	1981	0	217.8949089	500.6	16	30.5	excelente	None	Treino	Unspecified	Bureau of Ocean Energy Management
b-10-82-at	b-10	at	-66.28155	40.67741	38.937	-71.92041	Oceano Atlântico Norte	1982	1	105.3850021	4972.3	6	25	excelente	None	Treino	Geco	Bureau of Ocean Energy Management
b-11-77-at	b-11	at	-72.09106	39.43643	37.74591	-74.27506	Oceano Atlântico Norte	1977	0	217.3897133	1654.2	22	25	boa	None	Treino	Digicon	Bureau of Ocean Energy Management
b-11-78-at	b-11	at	-66.96536	40.66289	39.99054	-67.61647	Oceano Atlântico Norte	1978	0	35.49679565	36.6	3	22.4	boa	Kirchhoff Time Migration	Treino	Exxon	Bureau of Ocean Energy Management
b-11-82-at	b-11	at	-68.25924	41.64094	36.36874	-75.7107	Oceano Atlântico Norte	1982	0	283.0414581	293.1	57	50	regular	None	Treino	Arco	Bureau of Ocean Energy Management
b-11-88-at	b-11	at	-67.24707	42.52107	42.15764	-67.85059	Oceano Atlântico Norte	1988	0	125.9708519	130	16	25	boa	Kirchhoff Time Migration	Treino	Unspecified	Bureau of Ocean Energy Management
b-12-77-at	b-12	at	-68.00342	41.88142	41.15527	-69.00471	Oceano Atlântico Norte	1977	0	75.59941101	78.3	12	25	regular	Kirchhoff Time Migration	Treino	Digicon	Bureau of Ocean Energy Management
b-13-76-at	b-13	at	-66.72173	41.1018	40.35699	-70.22299	Oceano Atlântico Norte	1976	0	50.21033478	52	5	50	boa	Kirchhoff Time Migration	Treino	Texaco	Bureau of Ocean Energy Management
b-13-78-at	b-13	at	-73.95338	38.01331	37.68342	-74.2818	Oceano Atlântico Norte	1978	0	39.6430397	41	10	33.5	regular	Kirchhoff Time Migration	Treino	Geosource	Bureau of Ocean Energy Management
b-15-77-ak	b-15	ak	-140.90184	71.41279	69.71898	-156.04185	Oceano Ártico	1977	13	130.3778458	1145.8	10	25	boa	None	Treino	Unspecified	U.S. Geological Survey
b-15-79-at	b-15	at	-71.95717	39.66176	37.82923	-74.13274	Oceano Atlântico Norte	1979	0	68.08931732	70.5	5	25	boa	Kirchhoff Time Migration	Treino	Digicon	Bureau of Ocean Energy Management
b-15-87-ar	b-15	ar	-151.54878	71.93281	71.20848	-155.62019	Oceano Ártico	1987	0	288.157177	531.5	14	12.5	regular	None	Treino	Unspecified	U.S. Geological Survey
b-16-76-at	b-16	at	-73.5456	38.99504	34.62177	-75.56547	Oceano Atlântico Norte	1976	0	290.4921303	849.4	29	50	boa	Kirchhoff Time Migration	Treino	Unspecified	Bureau of Ocean Energy Management
b-16-77-at	b-16	at	-72.53092	39.24403	38.85682	-72.97712	Oceano Atlântico Norte	1977	0	119.8913879	124.4	23	25	regular	None	Treino	Unspecified	U.S. Geological Survey
b-17-77-at	b-17	at	-79.55727	32.1574	32.04103	-79.74574	Oceano Atlântico Norte	1977	0	55.78705978	57.8	17	25	regular	Kirchhoff Time Migration	Treino	Unspecified	Bureau of Ocean Energy Management
b-23-81-ar	b-23	ar	-144.00913	71.91305	69.98958	-156.60516	Oceano Ártico	1981	0	288.0282593	2368.6	29	25	boa	None	Treino	Unspecified	U.S. Geological Survey
b-25-77-ak	b-25	ak	-142.9769	71.68084	70.06849	-153.35545	Oceano Ártico	1977	0	287.4107361	1268.1	45	25	excelente	None	Treino	Unspecified	U.S. Geological Survey
b-28-75-at	b-28	at	-75.13279	35.22513	27.42201	-80.74238	Oceano Atlântico Norte	1975	0	286.5856323	465.8	25	50	boa	Kirchhoff Time Migration	Treino	Unspecified	Bureau of Ocean Energy Management
b-29-76-at	b-29	at	-79.51058	32.18342	30.34456	-80.91786	Oceano Atlântico Norte	1976	0	145.2159386	151.3	45	25	regular	Kirchhoff Time Migration	Treino	Unspecified	Bureau of Ocean Energy Management
b-30-82-ar	b-30	ar	-140.99691	71.17176	69.80599	-148.21341	Oceano Ártico	1982	0	230.6900024	237.6	8	None	boa	None	Treino	Unspecified	U.S. Geological Survey
b-32-84-ar	b-32	ar	-152.67014	72.03331	71.11289	-157.31019	Oceano Ártico	1984	0	286.9045258	815.7	11	None	excelente	None	Treino	Unspecified	U.S. Geological Survey
b-33-77-ak	b-33	ak	-145.38614	70.61478	70.06184	-149.87701	Oceano Ártico	1978	0	65.65096664	69	28	None	regular	None	Treino	Unspecified	U.S. Geological Survey
b-59-82-ar	b-59	ar	-140.92684	71.82981	69.83439	-156.80384	Oceano Ártico	1982	0	287.9274368	2237.5	22	12.5	regular	None	Treino	Unspecified	U.S. Geological Survey
b-60-82-ar	b-60	ar	-156.11821	72.54974	68.38704	-169.15409	Oceano Ártico	1982	0	213.5557175	221.9	11	12.5	regular	True Amp Migration	Treino	Unspecified	Bureau of Ocean Energy Management
h-14-79-sc	h-14	sc	-120.6558	35.38182	34.44256	-121.42547	Sul da Califórnia	1979	0	277.5192261	487.9	35	16.8	excelente	None	Treino	Unspecified	U.S. Geological Survey
h-17-79-sc	h-17	sc	-117.2807	33.65432	32.00014	-120.08772	Sul da Califórnia	1979	2	210.1898193	983.7	8	16.8	boa	None	Treino	Unspecified	U.S. Geological Survey
h-18-79-sc	h-18	sc	-117.18575	33.46542	31.52931	-119.30644	Sul da Califórnia	1979	0	185.3942871	1196.4	7	16.8	excelente	None	Treino	Unspecified	U.S. Geological Survey
j-1-88-sc	j-1	sc	-117.31727	33.39313	32.77974	-117.74669	Sul da Califórnia	1988	0	200.0731659	208.4	25	50	excelente	None	Treino	Unspecified	Bureau of Ocean Energy Management
l-09-11-ga-mcs	l-09	ga	-138.26213	57.19882	53.28682	-152.12715	Golfo do Alasca	2011	0	251.455307	7756.7	2	6.25	regular	None	Treino	Lamont-Doherty Earth Observatory	Pacific Coastal and Marine Science Center
l-11-11-bs-mcs	l-11	bs	-176.85226	58.82116	55.16293	-185.52164	Mar de Bering	2011	0	293.1060791	5235.8	3	6.25	regular	None	Teste	Lamont-Doherty Earth Observatory	Pacific Coastal and Marine Science Center
l-12-82-wg	l-12	wg	-158.32474	54.7704	52.55327	-164.73616	Golfo do Alasca	1982	0	66.63865662	67.6	2	None	excelente	Prestack Depth Migration	Treino	Unspecified	U.S. Geological Survey
w-1-70-sc	w-1	sc	-117.87323	33.9998	32.49463	-120.40069	Sul da Califórnia	1969	0	16.24488831	16.9	2	33.5	boa	None	Treino	Unspecified	U.S. Geological Survey
w-1-79-cb	w-1	cb	-68.67447	12.17086	11.71975	-69.385	Mar do Caribe	1979	0	111.7927551	115.8	12	25	excelente	None	Validação	Unspecified	U.S. Geological Survey
w-10-78-sc	w-10	sc	-120.69612	36.2747	34.47746	-122.1676	Sul da Califórnia	1978	0	218.4852905	227.3	9	33.5	excelente	None	Treino	Unspecified	U.S. Geological Survey
w-10-79-bs	w-10	bs	-159.41373	63.29498	58.1104	-167.95017	Mar de Bering	1979	0	275.6115913	654.5	4	12.5	ruim	None	Teste	Unspecified	U.S. Geological Survey
w-12-79-eg	w-12	eg	-138.45803	59.95779	58.02329	-142.44327	Golfo do Alasca	1979	0	286.7259979	2516.8	13	12.5	boa	None	Treino	Unspecified	U.S. Geological Survey
w-13-77-sc	w-13	sc	-119.70635	34.56503	34.07036	-120.95725	Sul da Califórnia	1977	0	286.411953	297.9	47	33.5	boa	None	Treino	Unspecified	U.S. Geological Survey
w-13-79-ar	w-13	ar	-150.54373	70.91117	70.4884	-152.36619	Oceano Ártico	1979	0	112.9837036	118	31	25	ruim	None	Treino	Unspecified	U.S. Geological Survey
w-14-76-sf	w-14	sf	-121.81847	38.29796	36.68266	-123.53456	Norte da Califórnia	1976	0	287.5606537	436.5	44	33.5	boa	None	Validação	Unspecified	U.S. Geological Survey
w-14-79-wg	w-14	wg	-152.67305	59.01351	57.73887	-155.175	Golfo do Alasca	1979	0	285.0316048	453.3	19	25	excelente	None	Treino	Unspecified	U.S. Geological Survey
w-16-76-sf	w-16	sf	-122.4621	38.40019	37.12831	-123.58486	Norte da Califórnia	1976	0	111.8735962	116.4	15	33.5	ruim	None	Validação	Unspecified	U.S. Geological Survey
w-16-77-bs	w-16	bs	-163.06371	63.72553	62.97181	-165.38866	Mar de Bering	1977	0	5.565643311	389.7	1	15.24	regular	None	Teste	Unspecified	U.S. Geological Survey
w-17-79-nc	w-17	nc	-123.11206	40.41198	38.00909	-124.99668	Norte da Califórnia	1979	0	286.1978607	554.1	22	33.5	boa	None	Validação	Unspecified	U.S. Geological Survey
w-18-75-np	w-18	np	-124.02	47.69346	42.43	-125.47179	Washington - Oregon	1974	0	103.5747528	398.7	30	33.5	regular	None	Teste	Unspecified	U.S. Geological Survey
w-2-70-sc	w-2	sc	-117.18103	34.07733	32.50793	-119.40452	Sul da Califórnia	1969	0	123.5431671	128.5	27	None	boa	None	Treino	Unspecified	U.S. Geological Survey
w-2-75-wg	w-2	wg	-151.83409	59.95388	58.85765	-153.77489	Golfo do Alasca	1975	0	287.6815796	478.9	28	None	regular	None	Treino	Unspecified	U.S. Geological Survey
w-20-79-ar	w-20	ar	-145.5897	70.70978	70.20916	-149.28421	Oceano Ártico	1979	0	73.96831512	88.2	14	25	regular	None	Treino	Unspecified	U.S. Geological Survey
w-21-80-bs	w-21	bs	-163.05613	64.31463	62.96968	-167.13031	Mar de Bering	1980	0	287.5091553	768.2	19	25	regular	None	Teste	Unspecified	U.S. Geological Survey
w-22-79-np	w-22	np	-120.66818	41.13007	34.47043	-124.9661	Norte da Califórnia	1979	0	285.1879044	1641.7	31	25	boa	None	Validação	Unspecified	U.S. Geological Survey
w-23-81-sc	w-23	sc	-119.12334	34.56151	33.7745	-120.9731	Sul da Califórnia	1981	0	286.4299774	735.8	36	12.5	boa	None	Treino	Unspecified	U.S. Geological Survey
w-25-80-ar	w-25	ar	-148.97288	71.08428	70.49585	-153.23311	Oceano Ártico	1980	0	210.4996681	219.2	37	25	regular	None	Treino	Unspecified	U.S. Geological Survey
w-26-80-wg	w-26	wg	-152.38086	59.64762	57.94947	-154.10612	Golfo do Alasca	1980	0	284.8899841	999.2	22	12.5	regular	None	Treino	Unspecified	U.S. Geological Survey
w-26-80-wo	w-26	wo	-118.9425	46.27271	45.54354	-124.33474	Washington - Oregon	1980	0	96.49276733	101.1	6	25	regular	None	Teste	Unspecified	U.S. Geological Survey
w-27-81-cs	w-27	cs	-155.43798	72.30942	67.35073	-169.26208	Oceano Ártico	1981	0	288.4412575	2032.7	12	25	regular	None	Treino	Unspecified	U.S. Geological Survey
w-29-80-wo	w-29	wo	-124.03863	48.54437	42.28041	-125.40756	Washington - Oregon	1980	0	288.1513596	1423.1	11	12.5	boa	None	Teste	Unspecified	U.S. Geological Survey
w-3-75-sc	w-3	sc	-117.18895	33.42019	32.44359	-118.73125	Sul da Califórnia	1974	0	287.4248886	711.9	47	33.5	boa	None	Treino	Unspecified	U.S. Geological Survey
w-3-79-cb	w-3	cb	-69.84445	12.85333	12.28256	-70.427	Mar do Caribe	1979	0	185.3751183	193.1	29	25	boa	None	Validação	Unspecified	U.S. Geological Survey
w-30-81-cs	w-30	cs	-164.22401	68.55579	66.17434	-169.32354	Oceano Ártico	1981	0	287.3834801	510.5	13	25	regular	None	Treino	Unspecified	U.S. Geological Survey
w-30-81-sc	w-30	sc	-117.75797	34.11419	32.3858	-119.67927	Sul da Califórnia	1981	0	288.4112396	1401	52	25	excelente	None	Treino	Unspecified	U.S. Geological Survey
w-31-81-bs	w-31	bs	-164.87248	56.82072	55.23462	-168.69039	Mar de Bering	1981	0	287.2997284	1118.4	14	12.5	boa	None	Teste	Unspecified	U.S. Geological Survey
w-31-81-sc	w-31	sc	-117.17467	33.52377	32.4197	-118.02951	Sul da Califórnia	1981	0	286.2997055	1183.9	16	12.5	boa	None	Treino	Unspecified	U.S. Geological Survey
w-32-82-cc	w-32	cc	-120.92091	36.32857	35.04152	-122.31209	Sul da Califórnia	1982	0	288.1550789	2322.1	11	12.5	boa	None	Treino	Unspecified	U.S. Geological Survey
w-33-81-ar	w-33	ar	-144.00913	70.25298	69.98958	-145.97733	Oceano Ártico	1981	0	60.19172668	62.5	15	25	regular	None	Treino	Unspecified	U.S. Geological Survey
w-33-82-sc	w-33	sc	-119.30509	34.26347	33.44707	-120.77143	Sul da Califórnia	1982	0	283.7230682	1123.6	18	12.5	boa	None	Treino	Unspecified	U.S. Geological Survey
w-34-82-aa	w-34	aa	-154.13863	57.99089	56.13956	-157.0377	Golfo do Alasca	1982	0	105.9381485	898.1	5	None	regular	None	Treino	Unspecified	U.S. Geological Survey
w-34-82-mb	w-34	mb	-121.84455	37.05357	36.08831	-122.64597	Norte da Califórnia	1982	0	287.9831314	1276.6	16	12.5	boa	None	Validação	Unspecified	U.S. Geological Survey
w-35-82-nc	w-35	nc	-122.67168	41.99367	37.0937	-124.77507	Norte da Califórnia	1982	0	288.5177612	2361.9	18	12.5	boa	None	Validação	Unspecified	U.S. Geological Survey
w-36-83-sc	w-36	sc	-118.06252	33.97869	31.09649	-119.87513	Sul da Califórnia	1983	0	289.5364761	3828.3	12	12.5	boa	None	Treino	Unspecified	U.S. Geological Survey
w-37-84-sc	w-37	sc	-119.34571	34.59476	34.02299	-121.0093	Sul da Califórnia	1984	0	287.7837181	1935.1	25	13.4	regular	None	Treino	Unspecified	U.S. Geological Survey
w-38-83-sc	w-38	sc	-120.6709	35.11853	34.00822	-120.98766	Sul da Califórnia	1983	0	62.33940125	64.8	2	12.5	regular	None	Treino	Unspecified	U.S. Geological Survey
w-39-85-wo	w-39	wo	-124.2452	48.55914	41.71614	-125.36143	Washington - Oregon	1985	0	285.263443	2098.7	15	13.4	excelente	None	Teste	Unspecified	U.S. Geological Survey
w-4-74-sc	w-4	sc	-120.39654	36.5244	34.0761	-122.22449	Sul da Califórnia	1974	0	67.69833374	70.5	5	33.5	regular	None	Treino	Unspecified	U.S. Geological Survey
w-4-77-sa	w-4	sa	-53.44242	-46.07939	-55.19956	-65.36083	Bacia Argentina	1977	0	280.2187424	1739	5	None	regular	None	Teste	Unspecified	U.S. Geological Survey
w-4-82-nc	w-4	nc	-122.15628	41.95681	36.71371	-124.8521	Norte da Califórnia	1982	0	288.4459534	3511.3	24	None	excelente	None	Validação	Unspecified	U.S. Geological Survey
w-40-80-ak	w-40	ak	-146.15683	70.47694	69.34004	-151.46253	Oceano Ártico	1980	1	210.0734138	307.1	28	33.5	regular	None	Treino	Unspecified	U.S. Geological Survey
w-40-85-sc	w-40	sc	-118.64693	34.57488	33.6843	-120.91096	Sul da Califórnia	1985	0	288.1365776	1248.4	30	13.4	regular	None	Treino	Unspecified	U.S. Geological Survey
w-5-75-sc	w-5	sc	-120.43816	36.26287	34.1464	-122.44741	Sul da Califórnia	1975	0	25.74383545	26.8	2	33.5	regular	None	Treino	Unspecified	U.S. Geological Survey
w-5-82-sc	w-5	sc	-117.18401	34.11841	30.98558	-120.08491	Sul da Califórnia	1982	0	288.1465378	5161.1	14	None	excelente	None	Treino	Unspecified	U.S. Geological Survey
w-50-70-cs	w-50	cs	-162.73539	70.35935	69.09003	-166.31638	Oceano Ártico	1970	0	172.4763565	180.8	18	None	regular	None	Treino	Unspecified	U.S. Geological Survey
w-6-75-nc	w-6	nc	-124.13149	42.43948	40.22665	-125.26283	Norte da Califórnia	1975	0	288.3876801	780.1	27	33.5	boa	None	Validação	Unspecified	U.S. Geological Survey
w-6-78-bs	w-6	bs	-173.67603	62.1619	58.28392	-179.4137	Mar de Bering	1978	0	286.6630554	1471.6	22	33.5	boa	None	Teste	Unspecified	U.S. Geological Survey
w-6-85-sc	w-6	sc	-119.24344	34.445	34.05811	-120.5741	Sul da Califórnia	1985	19	104.451149	320.3	15	None	boa	None	Treino	Unspecified	U.S. Geological Survey
w-67-82-wg	w-67	wg	-152.80424	58.94059	56.86913	-156.25865	Golfo do Alasca	1982	0	270.7099915	689.2	8	12.5	regular	None	Treino	Unspecified	U.S. Geological Survey
w-9-78-nc	w-9	nc	-124.11497	42.32889	40.51875	-125.33291	Norte da Califórnia	1977	0	288.1525993	443.7	29	33.5	boa	None	Validação	Unspecified	U.S. Geological Survey
w-9-79-ar	w-9	ar	-146.62864	70.52855	70.16083	-148.79732	Oceano Ártico	1979	0	102.9297829	107.5	51	25	regular	None	Treino	Unspecified	U.S. Geological Survey
w-95-92-sa	w-95	sa	-55.26869	-38.73731	-54.29358	-68.96894	Bacia Argentina	1992	0	289.8239136	3666.8	9	4	regular	None	Teste	Unspecified	U.S. Geological Survey
